Codigo;Descricao;Tipo;Unidade;Familia;Desc.Familia;Pos.IPI/NCM;Descr.Espec.;Materia Pri.;IPI de Pauta;Observacao;Serie
000000000000070;COXIM 1 1/4 30 X 30 70 KG;MP;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000071;RIVKLE PLUS CABECA PLANA M5;MP;CT;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000072;RIVKLE PLUS CABECA PLANA M6;MP;CT;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000073;RIVKLE PLUS CABECA PLANA M8;MP;CT;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000074;RIVKLE PLUS CABECA FINA M5;MP;CT;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000075;TRAFO MONOF. 22 -TAPPER 6,5KVA;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000076;TRAFO 220X110 KW 50/60HZ-TRANS;PA;PC;0001;SEM CLASSIFICACAO;8504.31.11;;;;SAIU C.10 TONINHO 02/02/16;
000000000000077;TRANSF.220X110 3KW 50/60HZ;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000078;TRAFO  220X16 1KW 50/60HZ - TR;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000079;FIB.CERAM.PAPEL 970J ESP  3.2M;MP;M2;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000080;THINNER PARA PU NORMAL SV13;MP;LT;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000081;CATALISADOR P/ PU SALCOMIX;MP;LT;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000082;BRANCO PU 9147 SALCOMIX;MP;LT;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000083;FILTRO DE AR 1/4 MINI FT1200;PA;UN;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000084;TRAFILADOR R-459U;MP;MT;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000085;LOCTITE 496 100GRS;MP;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
Codigo;Descricao;Tipo;Unidade;Familia;Desc.Familia;Pos.IPI/NCM;Descr.Espec.;Materia Pri.;IPI de Pauta;Observacao;Serie
000000000000086;TUBO NYLON PA 12 PRETO;PA;MT;0001;SEM CLASSIFICACAO;3908.10.14;;;;;
000000000000087;PORCA SEXTAVADA (REDE);PA;PC;0001;SEM CLASSIFICACAO;7415.39.00;;;;;
000000000000088;CALOTA PLAST. C/ REFLETIVO;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000090;TE DE REDE 800.632;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000091;QUADRADO CURTO C/ BICO 800.020;PA;PC;0001;SEM CLASSIFICACAO;7415.29.00;;;;;
000000000000092;PAINEL  STYLE 800.710;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000093;COMPENSADO LAM. 2.20X1.60X06MM;MP;CH;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000094;FORMICA TX 3.08X25X08MM PRETA;MP;CH;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000095;FECHAD.P/GAVETA 861/22MM PAPAI;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000096;FECHAD.P/GAVETA 861/31MM PAPA;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000097;COR.SINCRO. PU/ACO 20,0 T10 11;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
000000000000098;P.SINCRO 20T1020 6F P.AL FURO;PA;PC;0001;SEM CLASSIFICACAO;.  .;;;;;
