FRAME DPS 475  LEITCH;DPS 475;BG475A0048;4156;;ALMOX-A3;10/08/2023;ALM A4 12/09/2021(INVT 08/2023);;
HPA XTD-750C XICOM TECH;XTD-750C;53235;8519;CASA.62;BETA MANUTENÇÃO;02/08/2023;SAIU MANUTENÇÃO BETA 02/08/2023;;
LNB 3520 C-BAND NORSAT;3520 C-BAND;57N1429020946;8518;LABORATORIO;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
MODULADOR M6100 NEWTEC;M6100;200015666;4469;CASA.43;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
MODULADOR M6100 NEWTEC;M6100;200015667;4468;CASA.43;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
MODULADOR M6100 NEWTEC;M6100;200002024;4263;CASA.33;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);13/10/2022;NÃO CONST. SIST
MODULADOR M6100 NEWTEC;M6100;200002026;4265;CASA.33;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);13/10/2022;NÃO CONST. SIST
MONITOR AUD AMP1A-LP10S WOHLER;AMP1A-LP10S;97570;7097;CASA.28;ALMOX-B2;18/08/2023;ALM B3 26/07/2023 (V.C.28 LUCAS);;
MONITOR AUD AMP1A-LP10S WOHLER;AMP1A-LP10S;117997;4458;CASA.43;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
MONITOR AUDIO E-MON-1 DOLBY WOHLER;E-MON-1 DOLBY;79893;4904;CASA.53;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);28/03/2022 - DI-22/0566706-7;
MULTIVIWER DMON-16S DECIMATOR;DMON-16S;VPB02479;7943;NOVO;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);11/01/2023;DANFE: 0397 -  SEEGMA
NOBREAK 9PX6 KVA EATON;9PX6 KVA  (DANFE 4345 );G203K10062;4447;CASA.43;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
NOBREAK 9PX6 KVA EATON;9PX6 KVA  (DANFE 4345 );G203K10032;4448;CASA.43;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
NOBREAK 9PX6 KVA EATON;9PX6 KVA  (DANFE 202 AT EMP);G203F45039;4279;MANUTENÇÃO POWERENG;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
NOBREAK 9PX6KI EATON;9PX6KI;G203N11003;8384;NOVO;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);16/11/2022;DANFE: 11.981 - TELCABOS
RECEPTOR UC-IRD+ UPCOM;UC-IRD+;PK26D04120092;7006;BH ASSEMBLEIA;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
RECEPTOR UC-IRD+ UPCOM;UC-IRD (C PRETA);LAPK212450137;4409;CASA.62;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
RECEPTOR UC-IRD+ UPCOM;UC-IRD+ PRETO;PB38001210057;4091;CASA.20;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
RECEPTOR UC-IRD+ UPCOM;UC-IRD+;LAPK142040053;4467;CASA.43;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
ROTEADOR TL-WR740N(BR) TP-LINK;TL-WR740N(BR);13599405853;7996;;CASA.62;26/07/2023;INSTALADO C.62 26/07/2023 (PEDRO) INVT 26/07/2023);;
